openPrice,highPrice,lowPrice,closePrice,symbol,volume,turnover,openInterest,simple_rtn,log_rtn
64024.68,65880.67,62257.85,65764.36,BTCUSD,2544658190,39690.63743449,318142962.0,0.02717202178909761,0.026809416227765732
65764.36,66917.13,62329.76,63448.34,BTCUSD,2354400913,36379.30825324,317859410.0,-0.035216947294857026,-0.035852018767615214
63448.34,64389.03,61651.9,63820.71,BTCUSD,2400157525,38195.34499312,315208284.0,0.0058688690673389665,0.005851714341775858
63820.71,64505.44,59676.94,61284.88,BTCUSD,2229650099,36001.9754035,318868889.0,-0.039733653856248274,-0.04054458910095522
61284.88,64185.06,60834.44,63512.79,BTCUSD,1982938802,31756.32231056,320805056.0,0.03635333870279256,0.035708146213302795
63512.79,65491.83,59604.03,63846.96,BTCUSD,2592712269,40822.6739846,319144482.0,0.0052614599358649095,0.0052476668156823435
63846.96,65449.63,63134.18,64979.7,BTCUSD,1304005711,20312.36771107,317362370.0,0.017741486830383124,0.017585943669708604
64979.7,65724.52,64264.41,64957.8,BTCUSD,1088304541,16760.29113062,317759746.0,-0.00033702833346405114,-0.00033708514027685875
64957.8,67257.89,64533.45,66853.85,BTCUSD,1367116653,20734.40274438,317776360.0,0.029188950364698263,0.028771065227805943
66853.85,67212.23,65837.95,66417.21,BTCUSD,1013109551,15238.85700669,320195120.0,-0.006531261849541892,-0.006552683866360978
66417.21,67067.61,63552.64,64264.16,BTCUSD,1301693185,19922.52836325,320300591.0,-0.032417049737560544,-0.03295412104801766
64264.16,65283.51,62762.54,64488.03,BTCUSD,1373068768,21448.85940876,318733311.0,0.003483590231320166,0.0034775365857436192
64488.03,64791.93,63308.59,63751.61,BTCUSD,1148931440,17931.56202259,319516725.0,-0.011419483584783063,-0.01148518656242334
63751.61,63907.37,62397.63,63433.42,BTCUSD,912937699,14488.39012097,318241311.0,-0.004991089636795065,-0.005003586724741867
63433.42,64340.59,62767.71,63109.42,BTCUSD,698842508,10994.50587845,316996638.0,-0.005107717666807177,-0.005120806645583886
63109.42,64191.68,61771.95,63846.04,BTCUSD,1330431186,21244.64874958,317626466.0,0.011672108537837955,0.011604514943716093
63846.04,64724.78,59089.54,60632.64,BTCUSD,2117478141,34765.0453097,331760650.0,-0.05033045119164792,-0.051641198258714105
